Kode,Nama,Provinsi
75.71,KOTA GORONTALO,GORONTALO
76.01,KAB. PASANGKAYU,SULAWESI BARAT
76.02,KAB. MAMUJU,SULAWESI BARAT
76.03,KAB. MAMASA,SULAWESI BARAT
76.04,KAB. POLEWALI MANDAR,SULAWESI BARAT
76.05,KAB. MAJENE,SULAWESI BARAT
76.06,KAB. MAMUJU TENGAH,SULAWESI BARAT
81.01,KAB. MALUKU TENGAH,MALUKU
81.02,KAB. MALUKU TENGGARA,MALUKU
81.03,KAB. KEPULAUAN TANIMBAR,MALUKU
81.04,KAB. BURU,MALUKU
81.05,KAB. SERAM BAGIAN TIMUR,MALUKU
81.06,KAB. SERAM BAGIAN BARAT,MALUKU
81.07,KAB. KEPULAUAN ARU,MALUKU
81.08,KAB. MALUKU BARAT DAYA,MALUKU
81.09,KAB. BURU SELATAN,MALUKU
81.71,KOTA AMBON,MALUKU
81.72,KOTA TUAL,MALUKU
82.01,KAB. HALMAHERA BARAT,MALUKU UTARA
82.02,KAB. HALMAHERA TENGAH,MALUKU UTARA
82.03,KAB. HALMAHERA UTARA,MALUKU UTARA
82.04,KAB. HALMAHERA SELATAN,MALUKU UTARA
82.05,KAB. KEPULAUAN SULA,MALUKU UTARA
82.06,KAB. HALMAHERA TIMUR,MALUKU UTARA
82.07,KAB. PULAU MOROTAI,MALUKU UTARA
82.08,KAB. PULAU TALIABU,MALUKU UTARA
82.71,KOTA TERNATE,MALUKU UTARA
82.72,KOTA TIDORE KEPULAUAN,MALUKU UTARA
91.03,KAB. JAYAPURA,PAPUA
91.05,KAB. KEPULAUAN YAPEN,PAPUA
91.06,KAB. BIAK NUMFOR,PAPUA
91.10,KAB. SARMI,PAPUA
91.11,KAB. KEEROM,PAPUA
91.15,KAB. WAROPEN,PAPUA
91.19,KAB. SUPIORI,PAPUA
91.20,KAB. MAMBERAMO RAYA,PAPUA
91.71,KOTA JAYAPURA,PAPUA
92.01,KAB. SORONG,PAPUA BARAT
92.02,KAB. MANOKWARI,PAPUA BARAT
92.03,KAB. FAK FAK,PAPUA BARAT
92.04,KAB. SORONG SELATAN,PAPUA BARAT
92.05,KAB. RAJA AMPAT,PAPUA BARAT
92.06,KAB. TELUK BINTUNI,PAPUA BARAT
92.07,KAB. TELUK WONDAMA,PAPUA BARAT
92.08,KAB. KAIMANA,PAPUA BARAT
92.09,KAB. TAMBRAUW,PAPUA BARAT
92.10,KAB. MAYBRAT,PAPUA BARAT
92.11,KAB. MANOKWARI SELATAN,PAPUA BARAT
92.12,KAB. PEGUNUNGAN ARFAK,PAPUA BARAT
92.71,KOTA SORONG,PAPUA BARAT
93.01,KAB. MERAUKE,PAPUA SELATAN
93.02,KAB. BOVEN DIGOEL,PAPUA SELATAN
93.03,KAB. MAPPI,PAPUA SELATAN
93.04,KAB. ASMAT,PAPUA SELATAN
94.01,KAB. NABIRE,PAPUA TENGAH
94.02,KAB. PUNCAK JAYA,PAPUA TENGAH
94.03,KAB. PANIAI,PAPUA TENGAH
94.04,KAB. MIMIKA,PAPUA TENGAH
94.05,KAB. PUNCAK,PAPUA TENGAH
94.06,KAB. DOGIYAI,PAPUA TENGAH
94.07,KAB. INTAN JAYA,PAPUA TENGAH
